PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
4,9/8/2022,4:03:13 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,95.08709867,-2.110283696,1.430511147,2293.969967,191.8657555,12:30,6.818516488,1.079599015,7.239856174,-15.41319381,16.00006406,2.692294262,3.608929514,1.503921026,84.93975133,-4.335055917,1.178808484,0.396335549,,,,,,,,,,,,-0.998437527,9.268234283,-1.182671416,50,6.661427971,-3.535774442,-138.3670428,-5.555886474,-1.924502522,32.53352534,-14.3093963,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,45d99da8-2fb1-11ed-928e-03bc076d5ab4,95.27854745,6.819129368,1.081019596,-2.118365252,1.413383516,85.10435114,3.608880261,1.502805338,-4.335315735,1.160684211,0.396199748,2.864790833,14.91086361,-26.18642401,64.91878367,2058.52367,-1012.313445,89.73629556,-0.878188153,-0.441293243,-0.184515156,,,,,,,,,,,,,,,,,0.997394173,1,,,high,high,31.5731132,64.20888247,54.08014383,,,
5,9/8/2022,4:03:26 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Slider,,,,,,0,0,,81.80777716,0.946910956,-1.110417081,2482.537627,53.90369734,7:45,6.184732221,1.738673529,7.187184752,-43.71408368,-2.689353861,-8.347118276,3.429689715,0.275958425,75.5312634,-6.734333448,-2.123853381,0.46099306,,,,,,,,,,,,4.25727983,-1.758844064,-1.654654556,50,6.232559643,2.534982241,-119.1069345,0.783598935,6.076035925,24.26236421,-34.6842909,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,4dbf1a35-2fb1-11ed-ab96-2543dd6c9168,81.91852337,6.177030036,1.740337316,1.041937117,-1.13165658,75.61048821,3.435914128,0.274892242,-6.633167321,-2.140859255,0.460890426,-8.149145929,-5.028512786,-67.21381917,28.99704124,961.4699946,-2288.791935,38.72932213,0.228171561,-0.921956594,0.31294373,,,,,,,,,,,,,,,,,0.996942024,1,,,high,high,116.0973211,-2.208054527,54.13281525,,,
6,9/8/2022,4:03:40 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,92.78038421,-1.956946984,-2.048919645,2347.36337,201.1586607,12:45,6.500436124,1.575750428,7.518265176,-16.83092639,14.6560585,4.368562569,3.348468372,0.063731009,85.77498259,-4.484760613,-0.729329917,0.403865784,,,,,,,,,,,,-3.026434094,8.719009252,-1.441498399,50,6.363682473,4.706228267,-135.0496903,-5.099991345,-5.562760023,30.71566755,-16.14800884,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,55af201c-2fb1-11ed-83e0-ed8d3689bcd8,92.96501048,6.50058046,1.577984645,-1.959364497,-2.076220563,85.93576732,3.34868089,0.062058717,-4.480730905,-0.756737481,0.403730586,4.615891586,13.56387607,-37.05690389,84.66586532,1873.283793,-1414.53972,79.8037414,-0.744237301,-0.602607904,-0.28805304,,,,,,,,,,,,,,,,,0.997623424,1,,,high,high,13.80072655,53.67458154,53.80173482,,,
7,9/8/2022,4:03:55 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,94.1094434,-1.421362105,-1.809094166,2297.789782,196.1012021,12:30,6.589402528,1.312648998,7.581511437,-15.21031747,15.16455907,3.586875512,4.038276422,-0.439893679,85.78499314,-3.620557204,-1.352665636,0.397639642,,,,,,,,,,,,-2.484066224,8.885945674,-1.195933211,50,6.490620802,4.228339633,-137.0495327,-3.841635317,-4.698228198,31.86281715,-15.36765363,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,5f07e321-2fb1-11ed-850f-dbc4a78d24cd,94.29719172,6.589862005,1.314398088,-1.427606456,-1.830606106,85.95010331,4.03826695,-0.441261028,-3.620144621,-1.374985381,0.397505741,3.794974433,14.11741646,-31.36636926,65.34236841,1961.982657,-1196.019205,85.38564632,-0.820362522,-0.52050854,-0.236804121,,,,,,,,,,,,,,,,,0.997766023,1,,,high,high,31.19185708,24.40220445,53.73848856,,,
8,9/8/2022,4:04:08 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Curveball,,,,,,0,0,,80.38076127,2.086117485,1.088979685,2255.433818,10.56955501,6:15,6.53150368,1.114929312,7.563151055,-56.04668593,-13.88649329,-3.376558711,3.65721792,0.921636874,73.00841246,-8.191194677,-0.308551743,0.46732909,,,,,,,,,,,,2.228445584,-8.408040779,-1.185022193,50,6.64647318,-2.141520526,-116.9988932,2.893786126,3.048108188,24.79553006,-43.67471989,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,66b74b11-2fb1-11ed-b50b-2f1ec8700b41,80.46070083,6.520389695,1.116037221,2.225662937,1.074843294,73.04272486,3.665926039,0.920800721,-8.049480801,-0.32227397,0.4672588,-3.246927075,-16.87419219,-27.32393301,62.90713394,2003.785077,-1035.290815,88.84255708,0.873351615,-0.459020702,0.162963038,,,,,,,,,,,,,,,,,0.997462958,1,,,high,high,33.38356045,34.8967272,53.75684895,,,
9,9/8/2022,4:04:21 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,92.3180307,-3.526092129,-2.402810782,2320.399494,192.4931843,12:30,6.704967987,0.940332459,7.389675802,-16.31755661,15.72529,2.251995164,2.198136846,-0.735921354,85.59598671,-5.85035124,-1.556836635,0.40741505,,,,,,,,,,,,-1.941573317,9.722188733,-0.776374133,50,6.455582818,5.562935685,-134.145877,-8.751783344,-3.523912081,30.09172733,-14.5284948,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,6e4c5f21-2fb1-11ed-bc7d-35db7469b645,92.49867134,6.7052379,0.941771894,-3.529995971,-2.420708577,85.75651894,2.198231519,-0.737024629,-5.848228582,-1.574909115,0.407281041,2.414823336,14.65331675,-34.59119421,82.17445002,1910.207689,-1317.330785,82.32236277,-0.803731131,-0.567717235,-0.178082596,,,,,,,,,,,,,,,,,0.997886008,1,,,high,high,16.04304712,52.65702263,53.9303242,,,
10,9/8/2022,4:04:35 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Curveball,,,,,,0,0,,81.73143328,0.368584163,0.546951078,2322.809911,13.05750341,6:30,6.535424813,1.184994715,7.384694635,-53.73454986,-12.71580969,-4.299474219,2.393463599,0.668399877,74.91956524,-9.108833316,-0.995410406,0.460959406,,,,,,,,,,,,2.557146412,-7.166301136,-1.220732206,50,6.537865226,-1.025068757,-119.0169187,-0.622998742,3.618078918,25.73553912,-42.31357188,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,767da7c5-2fb1-11ed-9b77-b5eac7cb10d3,81.81469,6.5244919,1.186651865,0.501739277,0.526445841,74.96117053,2.401639231,0.667244837,-8.976019163,-1.014394856,0.46088203,-4.111082195,-15.6225821,-37.41528456,55.2866249,1844.897722,-1411.310837,79.42525616,0.773716215,-0.607587745,0.179444561,,,,,,,,,,,,,,,,,0.997435811,1,,,high,high,40.2420348,49.95716896,53.93530536,,,
11,9/8/2022,4:04:49 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Slider,,,,,,0,0,,81.3788608,0.104944675,0.446096414,2416.644885,53.49969285,7:45,6.080471934,1.77449858,7.538693142,-44.60652192,-4.01092235,-9.096877577,2.464164207,1.28336845,74.75138073,-7.727072807,-0.84182034,0.460276702,,,,,,,,,,,,5.329107829,-2.206388255,-1.800231158,50,6.06959335,-0.689905391,-118.5806335,-0.903132312,7.530957366,24.26420532,-35.29206041,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,7f0ed021-2fb1-11ed-b831-97e1c897064f,81.4818952,6.072285939,1.775471204,0.206461524,0.433455793,74.82110616,2.470777586,1.282768525,-7.619803689,-0.851276483,0.46017934,-8.963172452,-6.451952976,-62.47936815,42.86775028,1116.654224,-2143.188242,46.20679817,0.274850556,-0.886844507,0.371435044,,,,,,,,,,,,,,,,,0.997082951,1,,,high,high,51.41905428,-50.74694435,53.78130686,,,
12,9/8/2022,4:05:03 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,91.44790182,-1.901146662,-0.744043252,2179.438471,191.0159112,12:15,6.832864372,0.924307674,2.509005885,-18.77084763,18.85833468,2.93153416,3.435928865,0.806545809,84.19764115,-4.422116206,0.674442569,0.450723315,,,,,,,,,,,,-1.562677456,9.597442611,-0.815049819,50,6.50460363,1.559064997,-132.0696644,-5.464500057,-2.743189434,29.7309226,-15.32629699,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,877fa4c0-2fb1-11ed-b3fe-3548e2e5a5aa,91.68441385,6.833460195,0.926417834,-1.907999866,-0.764593048,84.39147687,3.436009502,0.805249428,-4.420212783,0.654868171,0.450523687,3.132656614,17.42825595,-23.67093997,90.6770368,1996.074334,-875.0081724,91.58663393,-0.89899073,-0.401483311,-0.175005195,,,,,,,,,,,,,,,,,0.998103228,1,,,high,high,8.390714877,-36.62532661,58.81099411,,,
13,9/8/2022,4:05:18 PM,1,1,Eli Stowe,,Right,Maryland,Eli Stowe,,Right,Maryland,,1,Top,0,0,0,Fastball,,,,,,0,0,,90.48933625,-2.082487277,-3.347659864,2285.910725,186.4775525,12:15,6.65165001,0.774686021,7.775023493,-16.08447281,15.19026801,1.024327094,3.427705685,-1.366032763,84.40629117,-4.576332227,-2.017373526,0.412513549,,,,,,,,,,,,-1.516821789,9.425977247,-0.567662463,50,6.516472579,7.673772806,-131.61785,-5.244969593,-2.647180319,29.26560922,-15.72369159,Maryland,Maryland,shi01,NCAA D1,BIG10,448b80a0-7ca7-4828-afa4-13df45e45d43,8ffd4f11-2fb1-11ed-ae0d-d31d2c07ac84,90.67011509,6.651827748,0.7758036,-2.085342576,-3.361374303,84.56441388,3.427874732,-1.366831421,-4.5729718,-2.030726526,0.412373722,1.154657476,14.10859665,-36.27458629,56.98085286,1842.88017,-1352.472003,80.61907888,-0.801044172,-0.591655653,-0.09094956,,,,,,,,,,,,,,,,,0.95891641,1,,,high,high,38.71724837,52.86653122,53.54497651,,,
